Title	URL	ResourceType	Citation	PubDate	CollectDateStart	CollectDateEnd	Producer	Distributor	Description	DataMethodType	Longitudinal	TimeSpan	Country	GeographicRegion	AdminLevel	UnitAnalysis	Language	Themes	Subjects	Restrictions	Notes	AddedUpdated							
Afrobarometer Data Merged Round 2 data (16 countries) (2004)	https://www.afrobarometer.org/survey-resource/merged-round-2-data-16-countries-2004/	Dataset		2004	2004	2004	Afrobarometer	Afrobarometer	"Afrobarometer measures the social, political, and economic atmosphere in more than 30 countries in Africa. How do we do this? We conduct face-to-face interviews with a randomly selected, nationally representative sample of 1,200-2,400 adult citizens in each country. There was a question ""How well or badly would you say the current government is handling the following matters, or haven’tyou heard enough about them to say: Combating HIV/AIDS"""	Quantitative	Yes	1999-present	Kenya, Mozambique, Senegal, Cabo Verde, Zimbabwe, Namibia, Lesotho, Ghana, Nigeria, South Africa, Tanzania, Mali, Botswana, Zambia, Uganda, Malawi	Africa	Nation	Political or Administrative Area	English	Opinions and Social Attitudes	opinions, toleration, attitudes, hiv/aids	No	go to site for codebook downloadable link. .SAV (spss) data format	21/05/2025							
Afrobarometer Data Merged Round 3 data (18 countries) (2005)	https://www.afrobarometer.org/survey-resource/merged-round-3-data-18-countries-2005/	Dataset		2005	2005	2005	Afrobarometer	Afrobarometer	Afrobarometer measures the social, political, and economic atmosphere in more than 30 countries in Africa. How do we do this? We conduct face-to-face interviews with a randomly selected, nationally representative sample of 1,200-2,400 adult citizens in each country.	Quantitative	Yes	1999-present	Benin, Madagascar, Kenya, Mozambique, Senegal, Cabo Verde, Zimbabwe, Namibia, Lesotho, Ghana, Nigeria, South Africa, Tanzania, Mali, Botswana, Zambia, Uganda, Malawi	Africa	Nation	Political or Administrative Area	English	Opinions and Social Attitudes	opinions, toleration, attitudes, hiv/aids	No	go to site for codebook downloadable link. .SAV (spss) data format	21/05/2025							
Afrobarometer Data Merged Round 4 data (20 countries) (2008)	https://www.afrobarometer.org/survey-resource/merged-round-4-data-20-countries-2008/	Dataset		2008	2008	2008	Afrobarometer	Afrobarometer	Afrobarometer measures the social, political, and economic atmosphere in more than 30 countries in Africa. How do we do this? We conduct face-to-face interviews with a randomly selected, nationally representative sample of 1,200-2,400 adult citizens in each country.	Quantitative	Yes	1999-present	Burkina Faso, Liberia, Benin, Madagascar, Kenya, Mozambique, Senegal, Cabo Verde, Zimbabwe, Namibia, Lesotho, Ghana, Nigeria, South Africa, Tanzania, Mali, Botswana, Zambia, Uganda, Malawi	Africa	Nation	Political or Administrative Area	English	Opinions and Social Attitudes	opinions, toleration, attitudes, hiv/aids	No	go to site for codebook downloadable link. .SAV (spss) data format	21/05/2025							
Afrobarometer Data Merged Round 5 data (34 countries) (2011-2013) (last update: July 2015)	https://www.afrobarometer.org/survey-resource/merged-round-5-data-34-countries-2015/	Dataset		2015	2011	2013	Afrobarometer	Afrobarometer	Afrobarometer measures the social, political, and economic atmosphere in more than 30 countries in Africa. How do we do this? We conduct face-to-face interviews with a randomly selected, nationally representative sample of 1,200-2,400 adult citizens in each country.	Quantitative	Yes	1999-present	Algeria, Burundi, Cameroon, Côte d’Ivoire, Egypt, Eswatini, Guinea, Mauritius, Morocco, Sierra Leone, Sudan, Tunisia, Burkina Faso, Liberia, Benin, Madagascar, Kenya, Mozambique, Senegal, Cabo Verde, Zimbabwe, Namibia, Lesotho, Ghana, Nigeria, South Africa, Tanzania, Mali, Botswana, Zambia, Uganda, Malawi	Africa	Nation	Political or Administrative Area	English	Opinions and Social Attitudes	opinions, toleration, attitudes, hiv/aids	No	go to site for codebook downloadable link. .SAV (spss) data format	21/05/2025							
Afrobarometer Data Merged Round 6 data (36 countries) (2016) (last updated: 2016)	https://www.afrobarometer.org/survey-resource/merged-round-6-data-36-countries-2016/	Dataset		2016	2016	2016	Afrobarometer	Afrobarometer	Afrobarometer measures the social, political, and economic atmosphere in more than 30 countries in Africa. How do we do this? We conduct face-to-face interviews with a randomly selected, nationally representative sample of 1,200-2,400 adult citizens in each country.	Quantitative	Yes	1999-present	Sao Tome and Principe, Gabon, Algeria, Burundi, Cameroon, Côte d’Ivoire, Egypt, Eswatini, Guinea, Mauritius, Morocco, Sierra Leone, Sudan, Tunisia, Burkina Faso, Liberia, Benin, Madagascar, Kenya, Mozambique, Senegal, Cabo Verde, Zimbabwe, Namibia, Lesotho, Ghana, Nigeria, South Africa, Tanzania, Mali, Botswana, Zambia, Uganda, Malawi	Africa	Nation	Political or Administrative Area	English	Opinions and Social Attitudes	opinions, toleration, homosexual, attitudes, aids	No	go to site for codebook downloadable link. .SAV (spss) data format	21/05/2025							
Afrobarometer Data Merged Round 7 data (34 countries) (2019)	https://www.afrobarometer.org/survey-resource/merged-round-7-data-34-countries-2019/	Dataset		2019	2019	2019	Afrobarometer	Afrobarometer	Afrobarometer measures the social, political, and economic atmosphere in more than 30 countries in Africa. How do we do this? We conduct face-to-face interviews with a randomly selected, nationally representative sample of 1,200-2,400 adult citizens in each country. Question: For each of the following types of people, please tell me whether you would like having people from this group as neighbors, dislike it, or not care: Homosexuals.	Quantitative	Yes	1999-present	Togo, Tunisia, Gambia, Sao Tome and Principe, Gabon, Cameroon, Côte d’Ivoire, Eswatini, Guinea, Mauritius, Morocco, Sierra Leone, Sudan, Burkina Faso, Liberia, Benin, Madagascar, Kenya, Mozambique, Senegal, Cabo Verde, Zimbabwe, Namibia, Lesotho, Ghana, Niger, Nigeria, South Africa, Tanzania, Mali, Botswana, Zambia, Uganda, Malawi	Africa	Nation	Political or Administrative Area	English, French	Opinions and Social Attitudes	opinions, toleration, homosexual, attitudes, aids	No	go to site for codebook downloadable link. .SAV (spss) data format	21/05/2025							
Afrobarometer Data Merged Round 8 data (34 countries) (2022)	https://www.afrobarometer.org/survey-resource/merged-round-8-data-34-countries-2022/	Dataset		2022	2022	2022	Afrobarometer	Afrobarometer	Afrobarometer measures the social, political, and economic atmosphere in more than 30 countries in Africa. How do we do this? We conduct face-to-face interviews with a randomly selected, nationally representative sample of 1,200-2,400 adult citizens in each country.	Quantitative	Yes	1999-present	Ethiopia, Angola, Togo, Tunisia, Gambia, Sao Tome and Principe, Gabon, Cameroon, Côte d’Ivoire, Eswatini, Guinea, Mauritius, Morocco, Sierra Leone, Sudan, Burkina Faso, Liberia, Benin, Madagascar, Kenya, Mozambique, Senegal, Cabo Verde, Zimbabwe, Namibia, Lesotho, Ghana, Niger, Nigeria, South Africa, Tanzania, Mali, Botswana, Zambia, Uganda, Malawi	Africa	Nation	Political or Administrative Area	English, French	Opinions and Social Attitudes	opinions, toleration, homosexual, attitudes, aids	No	go to site for codebook downloadable link. .SAV (spss) data format	21/05/2025							
Afrobarometer Data Merged Round 9 data (39 countries) (2023)	https://www.afrobarometer.org/wp-content/uploads/2024/11/R9.Merge_39ctry.20Nov23.final_.release_Updated.25Oct24-2-2.sav.zip	Dataset		2023	2023	2023	Afrobarometer	Afrobarometer	Afrobarometer measures the social, political, and economic atmosphere in more than 30 countries in Africa. How do we do this? We conduct face-to-face interviews with a randomly selected, nationally representative sample of 1,200-2,400 adult citizens in each country.	Quantitative	Yes	1999-present	Seychelles, Congo (Republic of), Ethiopia, Angola, Togo, Tunisia, Gambia, Sao Tome and Principe, Gabon, Cameroon, Côte d’Ivoire, Eswatini, Guinea, Mauritania, Mauritius, Morocco, Sierra Leone, Sudan, Burkina Faso, Liberia, Benin, Madagascar, Kenya, Mozambique, Senegal, Cabo Verde, Zimbabwe, Namibia, Lesotho, Ghana, Niger, Nigeria, South Africa, Tanzania, Mali, Botswana, Zambia, Uganda, Malawi	Africa	Nation	Political or Administrative Area	English, French	Opinions and Social Attitudes	opinions, toleration, homosexual, attitudes, aids	No	go to site for codebook downloadable link. .SAV (spss) data format	21/05/2025							
America's LGBT Economy	https://nglcc.org/wp-content/uploads/2022/02/REPORT-NGLCC-Americas-LGBT-Economy-1-1.pdf	Report		2022	2016		National Gay & Lesbian Chamber of Commerce (NGLCC)	National Gay & Lesbian Chamber of Commerce (NGLCC)	This report compiles the results of a survey of members of the National Gay & Lesbian Chamber of Commerce in the United States. It looks at: number of businesses, structure of the businesses, where they are located, industries, demographics of business owners and earnings.	Mixed	No	2016	United States of America	Northern America	Nation	Organization	English	Socio-economic-cultural	economics			05/02/2025							
Anonymous Questions and Expert Responses in the Sinuiksi Online Question and Answer Service 2014-2015	https://urn.fi/urn:nbn:fi:fsd:T-FSD3524	Dataset		2020	2014	2015	Finnish Social Science Data Archive	Finnish Social Science Data Archive		Qualitative			Finland	Northern Europe			Finnish		lgbt or lgbti, sexual orientation, gender identity, sexual behavior	No		21/05/2025							
Asexual lives: Everyday experiences,relationships and stories of becoming	https://doi.org/10.5255/UKDA-SN-851821	Dataset	Scott, S., McDonnell, L. (2017). Asexual lives: Everyday experiences, relationships and stories of becoming. [data collection]. UK Data Service. SN: 851821, DOI: 10.5255/UKDA-SN-851821 (NOT found in keyword search)	2017	2013	2015		UK Data Archive	"This project sought to understand asexual identities, lifestyles and intimate practices using a Symbolic Interactionist approach. The study focused on two research questions:; What does it mean to be asexual for different types of people and how do diverse asexual identities develop over time?; What are the practices of intimacy for asexual people including those in relationships with asexual or sexual partners?; To answer our research questions we conducted biographical narrative interviews, collected solicited diaries and diary-questionnaires. The biographical narrative interviews explored the individual’s experience of being asexual over time; the life events, experiences and relationships that shaped how participants saw themselves and the trajectory of their lives. The participant diaries collected information about the everyday practices of intimacy i.e. the events, experiences, interactions when participants felt close/intimate with someone, a pet or anything else. The third stage of data collection involved a diary-questionnaire that asked participants about their experience of doing the diary. The data was analysed in a number of ways, some of these using the computer software program NVivo 10.; This research was designed in accordance with the British Sociological Association’s ethical code. Participants were given an information sheet detailing the research and were asked to sign a consent form which acknowledged their right to terminate their participation at any point. Participants were also accorded full anonymity with any identifying characteristics removed from their transcripts e.g. names, locations occupations etc."	Qualitative	No		United Kingdom	Northern Europe		Individual	English	Sexuality and Gender Identity, Family and Marriage	social behavior, sexuality, gender identity, asexual, asexual people, sexual orientation, living open and daily life	No		23/05/2025							
Associate Professor Dr Travis S K Kong	https://sociology.hku.hk/people/travis-kong/	Scholar or Expert							Using people with non-normative (often stigmatized) identities and behaviors as examples, he examines how their lives are affected under specific historical and social circumstances with the ultimate aim of promoting their well-being and enhancing social inclusion. travisk@hku.h. The University of Hong Kong, Department of Sociology				Hong Kong	Eastern Asia			English	Sexuality and Gender Identity	gender identity, sexual behavior, gender roles	No	Website has list of studies. Data for studies may be restricted. Contact the scholar.	04/02/2025							
Associate Professor Yiu Tung Suen	https://aims.cuhk.edu.hk/converis/portal/detail/Person/4954571?auxfun=&lang=zh_HK	Scholar or Expert							"The Chinese University of Hong Kong Research Portal.  Link to list of studies. ORCiD 0000-0001-9113-1169). suenyiutung@cuhk.edu.hk  Example:  Suen YT, Chan RCH. A nationwide cross-sectional study of 15,611 lesbian, gay and bisexual people in China: disclosure of sexual orientation and experiences of negative treatment in health care. Int J Equity Health. 2020 Apr 1;19(1):46. doi: 10.1186/s12939-020-1151-7. PMID: 32238161; PMCID: PMC7110656."				Hong Kong	Eastern Asia			English	Sexuality and Gender Identity, Health, Discrimination	health, discrimination, sexual behavior, health disparities or health equity, law and legislation	No	Website has list of studies. Data for studies may be restricted. Contact the scholar.	04/02/2025							
Attitudes Towards LGBT People 2008	https://doi.org/10.18712/NSD-NSD2468-V2	Dataset		2017	2008	2008	Norman Anderssen	Sikt– Norwegian Agency for Shared Services in Education and Research	"The survey aimed to describe explicit opinions towards lesbian women, homosexual men, bisexual women and men and transgender persons (LGBT-persons) in Norway today. We did a survey with national representation among 1246 persons in the age 16-80, during April-May 2008. A broad specter of themes was covered by 180 questions. The presented report divides the responses into thirteen themes, mainly based on gender, age, education, city/countryside, religion and degree of support of traditional gender roles. ; The survey was conducted through internet.  ; The survey shows three main trends: ; 1. The majority was neutral or positive in general questions about their opinion on lesbian women and homosexual men. For women there was a great majority, whilst for men a smaller majority. The same situation was also shown for more explicit questions about specific situations and reactions, even though there were tendencies for more negative responses in these cases. In questions about their opinion about lesbians and homosexuals rights to become parents, about one third reported a negative attitude. About one out of five says that they do not know a lesbian women or a homosexual man.; 2. A majority was neutral or positive in general questions about their opinion on bisexual women and men. For women there was a great majority, whilst for men a smaller majority. Around half of the respondents said that they do not know a bisexual woman or man. Transsexuals: a majority was neutral or positive in general questions about their opinion on transgender persons, that is to say a person moving between being a woman and a man. A majority says that they do not know a woman or a man who moves between being a woman and a man. ; 3. Gender differs: more men were negative than women, especially towards homosexual men, bisexual men and male transsexuals, and to give lesbians and homosexuals the same rights to become parents."	Quantitative	No		Norway	Northern Europe	Nation	Individual	Norwegian	Opinions and Social Attitudes. Sexualitiy and Gender Identity	conversion therapy,  discrimination, violence, health, living open and daily life, sexual behavior, sexual orientation, substance abuse, attitudes, opinions, sexual and gender minorities, lesbians, homosexual, marriage. transsexuals, religion	No									
Attitudes towards LHBT-persons 2013. A part of the project Sexual Orientation and Living Conditions	https://doi.org/10.18712/NSD-NSD2469-V2	Dataset		2022	2013	2013	Norman Anderssen	Sikt– Norwegian Agency for Shared Services in Education and Research	"The survey is part of a larger project - ""Sexual Orientation and Living Conditions"" - carried out on behalf of the Norwegian Directorate for Children, Youth and Family Affairs at the Royal Ministry of Children and Equality.; The proportion of the population with a negative attitude towards lesbian women and homosexual men are relatively low, and reducing amongst men. Relatively few have never been in contact with lesbian women and homosexual men, and the amount of contact is increasing amongst men compared to before. Fewer men confirmed remarkable negative attitude toward lesbian and homosexuals compared to 2008, whilst women were stable on these matters. A remarkable majority agreed in statements with positive attitude towards lesbian and homosexual persons. There were more negative attitude amongst both women and men towards two women or two men holding hands and kissing, than if there were to person of different sex doing the same. A smaller majority confirmed negative behavior towards lesbian women and homosexual men, normally by jokes. ; The proportion men with negative attitude towards bisexual are lower in 2013 than in 2008, whilst among women it was steady with relatively few. A significant proportion of the population reports that they have never been in contact with bisexual women or men (one fourth, or more). This proportion has been reduced amongst men, but increased amongst women. A minority confirmed negative behavior towards bisexual, but not of serious actions. ; A minority of the population had negative attitude towards transsexuals in 2013, and the proportion was reduced amongst men from 2008. A majority did not have contact with transsexuals, but the proportion that had contact with persons who have had gender affirming medical treatment increased from 2008 to 2013. ; A minority agreed that they expressed evident negative attitude towards transsexuals, more often amongst men than women, while a significant majority said that they agreed in expressing evident positive attitude towards transsexuals. Relatively large proportion were negative to persons who did not suit with any of the regular gender categories showing affection in public. Negative behavior towards transgender was reported by a minority, in most cases by jokes. ;  A relatively large minority supported that persons who had received a gender affirming medical treatment should be able to freeze eggs and sperm in order to be able to be parents to their own children. ; There is a minor unrest in the population regarding how children of lesbian and homosexual parents are. Under half of the men (36 - 40%) and over the half of the women (58->57%) agreed that lesbian couples should have the same right to get assisted fertilization as heterosexual couples, like the law today. At this matter, there were no remarkable changes in mindset de last five years. Amongst women there were a reduced proportion who supported more liberal arrangements regarding egg donation. ; The conclusion were that the last five years has been a movement among Norwegian men towards an accept for lesbians, homosexuals, bisexuals and transsexuals. However, the proportion who confirms negative statements about for lesbians, homosexuals, bisexuals and transsexuals are still evident."	Quantitative	No		Norway	Northern Europe	Nation	Individual	Norwegian	Opinions and Social Attitudes. Sexualitiy and Gender Identity, Health, Socio-economic-cultural,  Family and Marriage	sexual behavior, sexual orientation, attitudes, opinions, sexual and gender minorities, lesbians, homosexual, marriage. transsexuals, bisexuals	No									
Behavioral Risk Factor Surveillance System (BRFSS)	https://www.cdc.gov/brfss/annual_data/annual_data.htm	Data Repository		1989					The Behavioral Risk Factor Surveillance System (BRFSS) is the nation’s premier system of health-related telephone surveys that collect state data about U.S. residents regarding their health-related risk behaviors, chronic health conditions, and use of preventive services. Established in 1984 with 15 states, BRFSS now collects data in all 50 states as well as the District of Columbia and three U.S. territories. BRFSS completes more than 400,000 adult interviews each year, making it the largest continuously conducted health survey system in the world. See More.	Quantitative	No	1989-present	United States of America	Northern America	State	Individual	"English, Spanish; Castilian"	Sexuality and Gender Identity, Demographic and Vital Statistics, Health 	health disparities or health equity, public health, health, trends	Yes	This is a whole data page and these data are being updated to conform with 2025 US presidential executive orders.	08/05/2025							
Behavioral Risk Factor Surveillance System (BRFSS), United States, 2017	https://doi.org/10.3886/ICPSR37989	Dataset	Centers for Disease Control and Prevention (U.S.). Behavioral Risk Factor Surveillance System (BRFSS), United States, 2017. Inter-university Consortium for Political and Social Research [distributor], 2023-07-10. https://doi.org/10.3886/ICPSR37989.v1	2023	2017	2017	U.S. Census Bureau	Inter university Consortium for Political and Social Research ICPSR	The Behavioral Risk Factor Surveillance System (BRFSS) is a system of health-related telephone surveys that collect state data about U.S. residents regarding their health-related risk behaviors, chronic health conditions, and use of preventive services. Established in 1984 with 15 states, BRFSS now collects data in all 50 states as well as the District of Columbia and three U.S. territories. BRFSS completes more than 400,000 adult interviews each year.	Quantitative	No		United States of America	Northern America	State	Individual	English	Sexuality and Gender Identity, Demographic and Vital Statistics, Health 	health disparities or health equity, public health, health, trends	No		08/05/2025							
Being LGBT In Asia: Cambodia Country Report	https://www.undp.org/sites/g/files/zskgke326/files/migration/asia_pacific_rbap/rbap-hhd-2014-blia-cambodia-country-report_0.pdf	Report		2014			United States Agency for International Development (USAID), United Nations Development Programme (UNDP)		A Participatory Review And Analysis Of The Legal And Social Environment For Lesbian, Gay, Bisexual And Transgender (LGBT) Persons And Civil Society.  There is a report for five countries:  Cambodia (English, Khmer), China (English, Chinese), Mongolia (English, Mongolian), Nepal (English, Nepali), Philippines (English), Thailand (English, Thai), Viet Nam (English, Vietnamese).				Cambodia	South-eastern Asia	Nation	Political or Administrative Area	Khmer, English	Opinions and Social Attitudes and Gender Identity, Discrimination, Socio-economic-cultural, Health, Civil and Political Rights, Law and Policy	employment, health, lgbt or lgbti, transsexuals, discrimination, gender identity, gay, transgender people, attitudes, stigma, lesbians, sexual and gender minorities	No	Survey data is not public	04/02/2025							
